Time: 6.71s, Current Position: 951, Target Position: 1800.0
Time: 6.74s, Current Position: 952, Target Position: 1800.0
Time: 6.77s, Current Position: 994, Target Position: 1800.0
Time: 6.80s, Current Position: 1078, Target Position: 1800.0
Time: 6.83s, Current Position: 1169, Target Position: 1800.0
Time: 6.87s, Current Position: 1230, Target Position: 1800.0
Time: 6.90s, Current Position: 1259, Target Position: 1800.0
Time: 6.93s, Current Position: 1272, Target Position: 1800.0
Time: 6.96s, Current Position: 1288, Target Position: 1800.0
Time: 6.99s, Current Position: 1327, Target Position: 1800.0
Time: 7.03s, Current Position: 1385, Target Position: 1800.0
Time: 7.06s, Current Position: 1430, Target Position: 1800.0
Time: 7.09s, Current Position: 1455, Target Position: 1800.0
Time: 7.12s, Current Position: 1461, Target Position: 1800.0
Time: 7.16s, Current Position: 1472, Target Position: 1800.0
Time: 7.19s, Current Position: 1505, Target Position: 1800.0
Time: 7.22s, Current Position: 1544, Target Position: 1800.0
Time: 7.25s, Current Position: 1579, Target Position: 1800.0
Time: 7.28s, Current Position: 1594, Target Position: 1800.0
Time: 7.32s, Current Position: 1598, Target Position: 1800.0
Time: 7.35s, Current Position: 1602, Target Position: 1800.0
Time: 7.38s, Current Position: 1618, Target Position: 1800.0
Time: 7.41s, Current Position: 1646, Target Position: 1800.0
Time: 7.44s, Current Position: 1668, Target Position: 1800.0
Time: 7.47s, Current Position: 1678, Target Position: 1800.0
Time: 7.51s, Current Position: 1681, Target Position: 1800.0
Time: 7.54s, Current Position: 1683, Target Position: 1800.0
Time: 7.57s, Current Position: 1693, Target Position: 1800.0
Time: 7.60s, Current Position: 1715, Target Position: 1800.0
Time: 7.63s, Current Position: 1731, Target Position: 1800.0
Time: 7.67s, Current Position: 1739, Target Position: 1800.0
Time: 7.70s, Current Position: 1742, Target Position: 1800.0
Time: 7.73s, Current Position: 1745, Target Position: 1800.0
Time: 7.76s, Current Position: 1754, Target Position: 1800.0
Time: 7.79s, Current Position: 1764, Target Position: 1800.0
Time: 7.83s, Current Position: 1772, Target Position: 1800.0
Time: 7.86s, Current Position: 1778, Target Position: 1800.0
Time: 7.89s, Current Position: 1782, Target Position: 1800.0
Time: 7.92s, Current Position: 1785, Target Position: 1800.0
Time: 7.95s, Current Position: 1790, Target Position: 1800.0
Time: 7.99s, Current Position: 1796, Target Position: 1800.0
